agency_cd	gage_id	date	discharge_cfs	qa_flag
USGS	04102533	2015-01-01	3095.49918166939	A
USGS	04102533	2015-01-02	3579.56901254774	A
USGS	04102533	2015-01-03	4484.01527550464	A e
USGS	04102533	2015-01-04	4624.14075286416	A e
USGS	04102533	2015-01-05	4089.11620294599	A e
USGS	04102533	2015-01-06	3503.136933988	A e
USGS	04102533	2015-01-07	3375.75013638843	A e
USGS	04102533	2015-01-08	3936.25204582651	A e
USGS	04102533	2015-01-09	4636.87943262411	A e
USGS	04102533	2015-01-10	5439.41625750136	A e
USGS	04102533	2015-01-11	4904.3917075832	A e
USGS	04102533	2015-01-12	4713.31151118385	A e
USGS	04102533	2015-01-13	4878.91434806328	A e
USGS	04102533	2015-01-14	4904.3917075832	A e
USGS	04102533	2015-01-15	4815.2209492635	A e
USGS	04102533	2015-01-16	4394.84451718494	A e
USGS	04102533	2015-01-17	4063.63884342608	A e
USGS	04102533	2015-01-18	3999.9454446263	A e
USGS	04102533	2015-01-19	4114.5935624659	A
USGS	04102533	2015-01-20	4331.15111838516	A
USGS	04102533	2015-01-21	4407.5831969449	A
USGS	04102533	2015-01-22	4356.62847790507	A
USGS	04102533	2015-01-23	4305.67375886525	A
USGS	04102533	2015-01-24	4203.7643207856	A
USGS	04102533	2015-01-25	3923.51336606656	A
USGS	04102533	2015-01-26	4038.16148390616	A
USGS	04102533	2015-01-27	3796.12656846699	A
USGS	04102533	2015-01-28	3681.47845062739	A
USGS	04102533	2015-01-29	3745.17184942717	A
USGS	04102533	2015-01-30	3566.83033278778	A
USGS	04102533	2015-01-31	3515.87561374795	A
USGS	04102533	2015-02-01	3681.47845062739	A
USGS	04102533	2015-02-02	3108.23786142935	A
USGS	04102533	2015-02-03	2955.37370430987	A
USGS	04102533	2015-02-04	3477.65957446808	A
USGS	04102533	2015-02-05	3248.36333878887	A
USGS	04102533	2015-02-06	3235.62465902891	A
USGS	04102533	2015-02-07	3783.38788870704	A
USGS	04102533	2015-02-08	3796.12656846699	A
USGS	04102533	2015-02-09	3898.03600654664	A
USGS	04102533	2015-02-10	3490.39825422804	A e
USGS	04102533	2015-02-11	3171.93126022913	A e
USGS	04102533	2015-02-12	3108.23786142935	A e
USGS	04102533	2015-02-13	3044.54446262957	A e
USGS	04102533	2015-02-14	3006.3284233497	A e
USGS	04102533	2015-02-15	2955.37370430987	A e
USGS	04102533	2015-02-16	2904.41898527005	A e
USGS	04102533	2015-02-17	3070.02182214948	A e
USGS	04102533	2015-02-18	2942.63502454992	A e
USGS	04102533	2015-02-19	3197.40861974905	A e
USGS	04102533	2015-02-20	3095.49918166939	A e
USGS	04102533	2015-02-21	2980.85106382979	A e
USGS	04102533	2015-02-22	3095.49918166939	A e
USGS	04102533	2015-02-23	2942.63502454992	A e
USGS	04102533	2015-02-24	3095.49918166939	A e
USGS	04102533	2015-02-25	2942.63502454992	A e
USGS	04102533	2015-02-26	2764.29350791053	A e
USGS	04102533	2015-02-27	2840.72558647027	A e
USGS	04102533	2015-02-28	2751.55482815057	A e
USGS	04102533	2015-03-01	2675.12274959083	A e
USGS	04102533	2015-03-02	2980.85106382979	A
USGS	04102533	2015-03-03	3210.147299509	A
USGS	04102533	2015-03-04	3159.19258046918	A
USGS	04102533	2015-03-05	3057.28314238952	A
USGS	04102533	2015-03-06	2942.63502454992	A
USGS	04102533	2015-03-07	3197.40861974905	A
USGS	04102533	2015-03-08	3312.05673758865	A
USGS	04102533	2015-03-09	3643.26241134752	A
USGS	04102533	2015-03-10	4076.37752318603	A
USGS	04102533	2015-03-11	5261.07474086197	A
USGS	04102533	2015-03-12	6649.59083469722	A
USGS	04102533	2015-03-13	7031.75122749591	A
USGS	04102533	2015-03-14	7286.52482269504	A
USGS	04102533	2015-03-15	7452.12765957447	A
USGS	04102533	2015-03-16	7630.46917621386	A
USGS	04102533	2015-03-17	7401.17294053464	A
USGS	04102533	2015-03-18	7477.60501909438	A
USGS	04102533	2015-03-19	7159.13802509547	A
USGS	04102533	2015-03-20	7057.22858701582	A
USGS	04102533	2015-03-21	6700.54555373704	A
USGS	04102533	2015-03-22	6445.77195853792	A
USGS	04102533	2015-03-23	5961.70212765957	A
USGS	04102533	2015-03-24	5783.36061102019	A
USGS	04102533	2015-03-25	5515.8483360611	A
USGS	04102533	2015-03-26	5439.41625750136	A
USGS	04102533	2015-03-27	5362.98417894163	A
USGS	04102533	2015-03-28	5019.0398254228	A
USGS	04102533	2015-03-29	5108.2105837425	A
USGS	04102533	2015-03-30	4292.93507910529	A
USGS	04102533	2015-03-31	4815.2209492635	A
USGS	04102533	2015-04-01	4471.27659574468	A
USGS	04102533	2015-04-02	4458.53791598472	A
USGS	04102533	2015-04-03	4560.44735406437	A
USGS	04102533	2015-04-04	4407.5831969449	A
USGS	04102533	2015-04-05	4356.62847790507	A
USGS	04102533	2015-04-06	4394.84451718494	A
USGS	04102533	2015-04-07	4101.85488270595	A
USGS	04102533	2015-04-08	3872.55864702673	A
USGS	04102533	2015-04-09	4280.19639934534	A
USGS	04102533	2015-04-10	4038.16148390616	A
USGS	04102533	2015-04-11	4382.10583742499	A
USGS	04102533	2015-04-12	4152.80960174577	A
USGS	04102533	2015-04-13	4382.10583742499	A
USGS	04102533	2015-04-14	4471.27659574468	A
USGS	04102533	2015-04-15	4229.24168030551	A
USGS	04102533	2015-04-16	4229.24168030551	A
USGS	04102533	2015-04-17	4407.5831969449	A
USGS	04102533	2015-04-18	3948.99072558647	A
USGS	04102533	2015-04-19	4114.5935624659	A
USGS	04102533	2015-04-20	4560.44735406437	A
USGS	04102533	2015-04-21	4815.2209492635	A
USGS	04102533	2015-04-22	4917.13038734315	A
USGS	04102533	2015-04-23	4955.34642662302	A
USGS	04102533	2015-04-24	4891.65302782324	A
